Vorderseite;Rückseite
"```java<br>int x = 7;<br>for (int i = 1; i <= 3; i++) {<br>    x -= i++ / 2;<br>    System.out.print(x);<br>}<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: x=7, i=1] --> B{i ≤ 3?}<br>    B -- wahr --> C[i++ nutzt i]<br>    C --> D[x -= i/2]<br>    D --> E[print x]<br>    E --> F[i++ im Kopf]<br>    F --> B<br>    B -- falsch --> G[Ende]<br>    style A fill:#e1f5fe<br>    style G fill:#c8e6c9</div><br><br><strong>Output:</strong> <code>76</code> | <strong>Index:</strong> <code>3</code><br><br><table><tr><th>Schritt</th><th>i vor</th><th>i++ nutzt</th><th>i nach</th><th>i/2</th><th>x</th><th>print</th></tr><tr><td>1</td><td>1</td><td><strong>1</strong></td><td>2</td><td>0</td><td>7</td><td><code>7</code></td></tr><tr><td>2</td><td>3</td><td><strong>3</strong></td><td>4</td><td>1</td><td>6</td><td><code>6</code></td></tr></table>"
"```java<br>int x = 3;<br>while (x++ <= 5) {<br>    System.out.print(x / 2);<br>}<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: x=3] --> B{x++ ≤ 5?}<br>    B -- wahr --> C[print x/2]<br>    C --> B<br>    B -- falsch --> D[Ende]</div><br><br><strong>Output:</strong> <code>223</code> | <strong>Index:</strong> <code>3</code><br><br><table><tr><th>x vor</th><th>x++ nutzt</th><th>x nach</th><th>x/2</th><th>print</th></tr><tr><td>3</td><td><strong>3</strong></td><td>4</td><td>2</td><td><code>2</code></td></tr><tr><td>4</td><td><strong>4</strong></td><td>5</td><td>2</td><td><code>2</code></td></tr><tr><td>5</td><td><strong>5</strong></td><td>6</td><td>3</td><td><code>3</code></td></tr></table>"
"```java<br>int x = 4, y = 5;<br>for (int i = 0; i < 2; i++) {<br>    x += y-- / 2;<br>}<br>System.out.print(x + "":""" + y);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[i=0] --> B[y-- nutzt y]<br>    B --> C[x += y/2]<br>    C --> D[i=1]<br>    D --> B<br>    B --> E[print x:y]</div><br><br><strong>Output:</strong> <code>8:3</code> | <strong>Index:</strong> <code>0</code><br><br><table><tr><th>i</th><th>y vor</th><th>y-- nutzt</th><th>y nach</th><th>y/2</th><th>x</th></tr><tr><td>0</td><td>5</td><td><strong>5</strong></td><td>4</td><td>2</td><td>6</td></tr><tr><td>1</td><td>4</td><td><strong>4</strong></td><td>3</td><td>2</td><td>8</td></tr></table>"
"```java<br>int i = 0;<br>while (i++ < 4) {<br>    if (i == 3) continue;<br>    System.out.print(i / 2);<br>}<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[i++ < 4?] --> B{i == 3?}<br>    B -- ja --> C[continue]<br>    B -- nein --> D[print i/2]<br>    D --> A<br>    C --> A<br>    A -- nein --> E[Ende]</div><br><br><strong>Output:</strong> <code>012</code> | <strong>Index:</strong> <code>1</code><br><br><table><tr><th>i vor</th><th>i++</th><th>i nach</th><th>i/2</th><th>print</th></tr><tr><td>0</td><td>0</td><td>1</td><td>0</td><td><code>0</code></td></tr><tr><td>1</td><td>1</td><td>2</td><td>1</td><td><code>1</code></td></tr><tr><td>2</td><td>2</td><td>3</td><td>–</td><td>continue</td></tr><tr><td>3</td><td>3</td><td>4</td><td>2</td><td><code>2</code></td></tr></table>"
"```java<br>int x = 5;<br>int y = (x++ / 2 >= 2) ? x-- : ++x;<br>System.out.print(y);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[x=5] --> B[x++ → 5, x=6]<br>    B --> C[5/2 ≥ 2?]<br>    C -- ja --> D[x-- → 6, x=5]<br>    C -- nein --> E[++x]<br>    D --> F[y=6]<br>    E --> F</div><br><br><strong>Output:</strong> <code>6</code> | <strong>Index:</strong> <code>1</code>"
"```java<br>for (int i = 1; i <= 3; i++) {<br>    for (int j = 1; j <= i; j++) {<br>        if (j / 2 == 1) break;<br>        System.out.print(j);<br>    }<br>    System.out.println();<br>}<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[i=1] --> B[j=1 to i]<br>    B --> C{j/2 == 1?}<br>    C -- ja --> D[break]<br>    C -- nein --> E[print j]<br>    E --> B<br>    D --> F[println]</div><br><br><strong>Output:</strong> <code>\n1\n1\n1</code> | <strong>Index:</strong> <code>1</code>"
"```java<br>int x = 4;<br>do {<br>    System.out.print(x / 2);<br>    x--;<br>} while (x-- > 2);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[do: x=4] --> B[print x/2]<br>    B --> C[x--]<br>    C --> D[x-- > 2?]<br>    D -- ja --> B<br>    D -- nein --> E[Ende]</div><br><br><strong>Output:</strong> <code>21</code> | <strong>Index:</strong> <code>0</code>"
"```java<br>int sum = 0;<br>for (int i = 1; i <= 5; i++) {<br>    if (i / 2 == 1) continue;<br>    sum += i;<br>}<br>System.out.print(sum);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[i=1 to 5] --> B{i/2 == 1?}<br>    B -- ja --> C[continue]<br>    B -- nein --> D[sum += i]<br>    D --> A<br>    C --> A</div><br><br><strong>Output:</strong> <code>10</code> | <strong>Index:</strong> <code>2</code>"
"```java<br>int x = 3, y = 4;<br>if (x++ / 2 >= y--) {<br>    System.out.print(""A"");<br>} else {<br>    System.out.print(""B"");<br>}<br>System.out.print(x + y);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[x=3,y=4] --> B[x++=3,x=4]<br>    B --> C[y--=4,y=3]<br>    C --> D[1 ≥ 4?]<br>    D -- ja --> E[A]<br>    D -- nein --> F[B]<br>    E --> G[print x+y]<br>    F --> G</div><br><br><strong>Output:</strong> <code>B7</code> | <strong>Index:</strong> <code>1</code>"
"```java<br>int count = 0;<br>for (int i = 0; i < 4; i++) {<br>    for (int j = i; j < 4; j++) {<br>        if (j / 2 == 1) break;<br>        count++;<br>    }<br>}<br>System.out.print(count);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[i=0 to 3] --> B[j=i to 3]<br>    B --> C{j/2 == 1?}<br>    C -- ja --> D[break]<br>    C -- nein --> E[count++]<br>    E --> B<br>    D --> A</div><br><br><strong>Output:</strong> <code>3</code> | <strong>Index:</strong> <code>2</code>"
"```java<br>int x = 6;<br>while (x-- > 3) {<br>    System.out.print(x / 2);<br>    if (x == 4) break;<br>}<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[x-- > 3?] --> B[print x/2]<br>    B --> C[x == 4?]<br>    C -- ja --> D[break]<br>    C -- nein --> A<br>    A -- nein --> E[Ende]</div><br><br><strong>Output:</strong> <code>22</code> | <strong>Index:</strong> <code>3</code>"
"```java<br>int x = 3, y = 4;<br>for (int i = 0; i < 3; i++) {<br>    x += y++ / 2;<br>}<br>System.out.print(x + "":""" + y);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[i=0 to 2] --> B[y++ nutzt y]<br>    B --> C[x += y/2]<br>    C --> A<br>    A --> D[print x:y]</div><br><br><strong>Output:</strong> <code>10:7</code> | <strong>Index:</strong> <code>1</code>"
"```java<br>for (int i = 1; i <= 3; i++) {<br>    for (int j = 3; j >= i; j--) {<br>        System.out.print(j / 2);<br>    }<br>    System.out.println();<br>}<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[i=1 to 3] --> B[j=3 to i]<br>    B --> C[print j/2]<br>    C --> B<br>    B --> D[println]</div><br><br><strong>Output:</strong> <code>\n111\n11\n1</code> | <strong>Index:</strong> <code>2</code>"
"```java<br>int x = 4;<br>int y = (--x / 2 == 1) ? x++ : ++x;<br>System.out.print(y);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[--x → x=3] --> B[3/2 == 1?]<br>    B -- ja --> C[x++ → 3, x=4]<br>    B -- nein --> D[++x]<br>    C --> E[y=3]</div><br><br><strong>Output:</strong> <code>3</code> | <strong>Index:</strong> <code>0</code>"
"```java<br>int i = 0;<br>while (i++ < 5) {<br>    if (i / 2 == 2) continue;<br>    System.out.print(i);<br>}<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[i++ < 5?] --> B{i/2 == 2?}<br>    B -- ja --> C[continue]<br>    B -- nein --> D[print i]<br>    D --> A<br>    C --> A</div><br><br><strong>Output:</strong> <code>1235</code> | <strong>Index:</strong> <code>2</code>"
"```java<br>int x = 5;<br>do {<br>    System.out.print(x / 2);<br>    x--;<br>} while (x > 2 && x / 2 == 1);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[do] --> B[print x/2]<br>    B --> C[x--]<br>    C --> D[x>2 && x/2==1?]<br>    D -- ja --> B<br>    D -- nein --> E[Ende]</div><br><br><strong>Output:</strong> <code>2</code> | <strong>Index:</strong> <code>0</code>"
"```java<br>int sum = 0;<br>for (int i = 1; i <= 4; i++) {<br>    for (int j = 1; j <= i; j++) {<br>        if (j / 2 == 1) sum += j;<br>    }<br>}<br>System.out.print(sum);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[i=1 to 4] --> B[j=1 to i]<br>    B --> C{j/2 == 1?}<br>    C -- ja --> D[sum += j]<br>    C -- nein --> B<br>    D --> B</div><br><br><strong>Output:</strong> <code>12</code> | <strong>Index:</strong> <code>3</code>"
"```java<br>int x = 3;<br>if (x++ / 2 == 1 && ++x / 2 == 2) {<br>    System.out.print(""A"");<br>} else {<br>    System.out.print(""B"");<br>}<br>System.out.print(x);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[x++ → 3, x=4] --> B[3/2 == 1?]<br>    B -- ja --> C[++x → x=5]<br>    C --> D[5/2 == 2?]<br>    D -- ja --> E[A]<br>    D -- nein --> F[B]</div><br><br><strong>Output:</strong> <code>A5</code> | <strong>Index:</strong> <code>0</code>"
