Vorderseite;Rückseite
"```java<br>int[] a = {1, 2, 3};<br>for (int i = 0; i < a.length; i++) {<br> a[i] = a[i] * a[i];<br>}<br>System.out.print(a[2]);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: a={1,2,3}] --> B[i=0 to a.length-1]<br>    B --> C[a[i] = a[i] * a[i]]<br>    C --> B<br>    B --> D[print a[2]]</div><br><br><strong>Output:</strong> <code>9</code> | <strong>Index:</strong> <code>3</code><br><br><table><tr><th>i</th><th>a[i]</th><th>a[i]*a[i]</th><th>a nach</th></tr><tr><td>0</td><td>1</td><td>1</td><td>{1,2,3}</td></tr><tr><td>1</td><td>2</td><td>4</td><td>{1,4,3}</td></tr><tr><td>2</td><td>3</td><td>9</td><td>{1,4,9}</td></tr></table>"
"```java<br>int[] arr = {2, 4, 6, 8, 10};<br>int result = 0;<br>for (int i = 0; i < arr.length; i++) {<br> if (arr[i] % 4 == 0) {<br> result += arr[i] / 2;<br> } else {<br> result -= arr[i];<br> }<br>}<br>System.out.println(result);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: result=0] --> B[i=0 to arr.length-1]<br>    B --> C{arr[i] % 4 == 0?}<br>    C -- ja --> D[result += arr[i]/2]<br>    C -- nein --> E[result -= arr[i]]<br>    D --> B<br>    E --> B<br>    B --> F[print result]</div><br><br><strong>Output:</strong> <code>-12</code> | <strong>Index:</strong> <code>2</code><br><br><table><tr><th>i</th><th>arr[i]</th><th>%4</th><th>result</th></tr><tr><td>0</td><td>2</td><td>2</td><td>-2</td></tr><tr><td>1</td><td>4</td><td>0</td><td>0</td></tr><tr><td>2</td><td>6</td><td>2</td><td>-6</td></tr><tr><td>3</td><td>8</td><td>0</td><td>-2</td></tr><tr><td>4</td><td>10</td><td>2</td><td>-12</td></tr></table>"
"```java<br>int[] x = {1, 2, 3, 4};<br>int sum = 0;<br>for (int i = 0; i < x.length; i++) {<br> if (i % 2 == 0) sum += x[i];<br>}<br>System.out.println(sum);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: sum=0] --> B[i=0 to x.length-1]<br>    B --> C{i % 2 == 0?}<br>    C -- ja --> D[sum += x[i]]<br>    C -- nein --> B<br>    D --> B<br>    B --> E[print sum]</div><br><br><strong>Output:</strong> <code>4</code> | <strong>Index:</strong> <code>0</code><br><br><table><tr><th>i</th><th>i%2</th><th>x[i]</th><th>sum</th></tr><tr><td>0</td><td>0</td><td>1</td><td>1</td></tr><tr><td>1</td><td>1</td><td>-</td><td>1</td></tr><tr><td>2</td><td>0</td><td>3</td><td>4</td></tr><tr><td>3</td><td>1</td><td>-</td><td>4</td></tr></table>"
"```java<br>int[] arr = {5, 3, 1};<br>for (int i = arr.length - 1; i >= 0; i--) {<br> System.out.print(arr[i]);<br>}<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: i=arr.length-1] --> B[i >= 0?]<br>    B -- ja --> C[print arr[i]]<br>    C --> D[i--]<br>    D --> B<br>    B -- nein --> E[Ende]</div><br><br><strong>Output:</strong> <code>135</code> | <strong>Index:</strong> <code>1</code><br><br><table><tr><th>i</th><th>arr[i]</th><th>print</th></tr><tr><td>2</td><td>1</td><td><code>1</code></td></tr><tr><td>1</td><td>3</td><td><code>3</code></td></tr><tr><td>0</td><td>5</td><td><code>5</code></td></tr></table>"
"```java<br>int[] a = {1, 2, 3, 4};<br>int sum = 0;<br>for (int i = 0; i < a.length; i++) {<br> sum += a[i] * (a.length - i);<br>}<br>System.out.println(sum);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: sum=0] --> B[i=0 to a.length-1]<br>    B --> C[sum += a[i] * (a.length-i)]<br>    C --> B<br>    B --> D[print sum]</div><br><br><strong>Output:</strong> <code>20</code> | <strong>Index:</strong> <code>3</code><br><br><table><tr><th>i</th><th>a[i]</th><th>a.length-i</th><th>sum</th></tr><tr><td>0</td><td>1</td><td>4</td><td>4</td></tr><tr><td>1</td><td>2</td><td>3</td><td>10</td></tr><tr><td>2</td><td>3</td><td>2</td><td>16</td></tr><tr><td>3</td><td>4</td><td>1</td><td>20</td></tr></table>"
"```java<br>int[] arr = {1, 2, 3, 4, 5};<br>for (int i = 0; i < arr.length; i += 2) {<br> System.out.print(arr[i]);<br>}<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: i=0] --> B[i < arr.length?]<br>    B -- ja --> C[print arr[i]]<br>    C --> D[i += 2]<br>    D --> B<br>    B -- nein --> E[Ende]</div><br><br><strong>Output:</strong> <code>135</code> | <strong>Index:</strong> <code>2</code><br><br><table><tr><th>i</th><th>arr[i]</th><th>print</th></tr><tr><td>0</td><td>1</td><td><code>1</code></td></tr><tr><td>2</td><td>3</td><td><code>3</code></td></tr><tr><td>4</td><td>5</td><td><code>5</code></td></tr></table>"
"```java<br>int[] arr = {2, 4, 6};<br>for (int i = 0; i < arr.length; i++) {<br> arr[i] += 2;<br>}<br>System.out.print(arr[1]);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: arr={2,4,6}] --> B[i=0 to arr.length-1]<br>    B --> C[arr[i] += 2]<br>    C --> B<br>    B --> D[print arr[1]]</div><br><br><strong>Output:</strong> <code>6</code> | <strong>Index:</strong> <code>2</code><br><br><table><tr><th>i</th><th>arr[i]</th><th>arr nach</th></tr><tr><td>0</td><td>2</td><td>{4,4,6}</td></tr><tr><td>1</td><td>4</td><td>{4,6,6}</td></tr><tr><td>2</td><td>6</td><td>{4,6,8}</td></tr></table>"
"```java<br>int[] nums = {1, 1, 2, 3, 5, 8};<br>int out = 0;<br>for (int i = 0; i < nums.length; i++) {<br> out += nums[i];<br>}<br>System.out.println(out);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: out=0] --> B[i=0 to nums.length-1]<br>    B --> C[out += nums[i]]<br>    C --> B<br>    B --> D[print out]</div><br><br><strong>Output:</strong> <code>20</code> | <strong>Index:</strong> <code>2</code><br><br><table><tr><th>i</th><th>nums[i]</th><th>out</th></tr><tr><td>0</td><td>1</td><td>1</td></tr><tr><td>1</td><td>1</td><td>2</td></tr><tr><td>2</td><td>2</td><td>4</td></tr><tr><td>3</td><td>3</td><td>7</td></tr><tr><td>4</td><td>5</td><td>12</td></tr><tr><td>5</td><td>8</td><td>20</td></tr></table>"
"```java<br>int[] arr = {1, 2, 3, 4, 5};<br>System.out.println(arr[arr[2]]);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: arr={1,2,3,4,5}] --> B[arr[2]=3]<br>    B --> C[print arr[3]]</div><br><br><strong>Output:</strong> <code>4</code> | <strong>Index:</strong> <code>1</code>"
"```java<br>int[] a = {3, 6, 9};<br>for (int i = 0; i < a.length; i++) {<br> System.out.print(a[i] / 3);<br>}<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: a={3,6,9}] --> B[i=0 to a.length-1]<br>    B --> C[print a[i]/3]<br>    C --> B<br>    B --> D[Ende]</div><br><br><strong>Output:</strong> <code>123</code> | <strong>Index:</strong> <code>1</code><br><br><table><tr><th>i</th><th>a[i]</th><th>a[i]/3</th><th>print</th></tr><tr><td>0</td><td>3</td><td>1</td><td><code>1</code></td></tr><tr><td>1</td><td>6</td><td>2</td><td><code>2</code></td></tr><tr><td>2</td><td>9</td><td>3</td><td><code>3</code></td></tr></table>"
"```java<br>int[] arr = {1, 2, 3, 4};<br>System.out.print(arr.length);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: arr={1,2,3,4}] --> B[print arr.length]</div><br><br><strong>Output:</strong> <code>4</code> | <strong>Index:</strong> <code>0</code>"
