Vorderseite;Rückseite
"```java<br>int[][] arr = {{1,2},{3,4}};<br>System.out.println(arr[1][1]);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: arr={{1,2},{3,4}}] --> B[print arr[1][1]]</div><br><br><strong>Output:</strong> <code>4</code> | <strong>Index:</strong> <code>0</code>"
"```java<br>int[][] arr = {{5,6,7},{8,9,10}};<br>System.out.print(arr[0][2] + arr[1][0]);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: arr={{5,6,7},{8,9,10}}] --> B[print arr[0][2] + arr[1][0]]</div><br><br><strong>Output:</strong> <code>15</code> | <strong>Index:</strong> <code>3</code><br><br><table><tr><th>Schritt</th><th>Wert</th></tr><tr><td>arr[0][2]</td><td>7</td></tr><tr><td>arr[1][0]</td><td>8</td></tr><tr><td>Summe</td><td>15</td></tr></table>"
"```java<br>int[][] arr = new int[2][2];<br>arr[0][0] = 1; arr[1][1] = 2;<br>System.out.print(arr[1][0]);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: arr={{0,0},{0,0}}] --> B[arr[0][0]=1]<br>    B --> C[arr[1][1]=2]<br>    C --> D[print arr[1][0]]</div><br><br><strong>Output:</strong> <code>0</code> | <strong>Index:</strong> <code>3</code><br><br><table><tr><th>Schritt</th><th>arr nach</th></tr><tr><td>arr[0][0]=1</td><td>{{1,0},{0,0}}</td></tr><tr><td>arr[1][1]=2</td><td>{{1,0},{0,2}}</td></tr></table>"
"```java<br>int[][] arr = {{0,1},{2,3}};<br>System.out.print(arr[0][1] * arr[1][0]);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: arr={{0,1},{2,3}}] --> B[print arr[0][1] * arr[1][0]]</div><br><br><strong>Output:</strong> <code>2</code> | <strong>Index:</strong> <code>3</code><br><br><table><tr><th>Schritt</th><th>Wert</th></tr><tr><td>arr[0][1]</td><td>1</td></tr><tr><td>arr[1][0]</td><td>2</td></tr><tr><td>Produkt</td><td>2</td></tr></table>"
"```java<br>int[][] arr = {{1,2,3},{4,5,6}};<br>int sum = 0;<br>for(int i=0;i<2;i++) for(int j=0;j<3;j++) sum+=arr[i][j];<br>System.out.print(sum);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: sum=0] --> B[i=0 to 1]<br>    B --> C[j=0 to 2]<br>    C --> D[sum += arr[i][j]]<br>    D --> C<br>    C --> B<br>    B --> E[print sum]</div><br><br><strong>Output:</strong> <code>21</code> | <strong>Index:</strong> <code>1</code><br><br><table><tr><th>i</th><th>j</th><th>arr[i][j]</th><th>sum</th></tr><tr><td>0</td><td>0</td><td>1</td><td>1</td></tr><tr><td>0</td><td>1</td><td>2</td><td>3</td></tr><tr><td>0</td><td>2</td><td>3</td><td>6</td></tr><tr><td>1</td><td>0</td><td>4</td><td>10</td></tr><tr><td>1</td><td>1</td><td>5</td><td>15</td></tr><tr><td>1</td><td>2</td><td>6</td><td>21</td></tr></table>"
"```java<br>int[][] arr = {{7,8},{9,10}};<br>arr[1][0] = arr[0][1];<br>System.out.print(arr[1][0]);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: arr={{7,8},{9,10}}] --> B[arr[1][0] = arr[0][1]]<br>    B --> C[print arr[1][0]]</div><br><br><strong>Output:</strong> <code>8</code> | <strong>Index:</strong> <code>2</code>"
"```java<br>int[][] arr = {{2,4},{6,8}};<br>System.out.print(arr[0][1] + arr[1][0]);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: arr={{2,4},{6,8}}] --> B[print arr[0][1] + arr[1][0]]</div><br><br><strong>Output:</strong> <code>10</code> | <strong>Index:</strong> <code>0</code><br><br><table><tr><th>Schritt</th><th>Wert</th></tr><tr><td>arr[0][1]</td><td>4</td></tr><tr><td>arr[1][0]</td><td>6</td></tr><tr><td>Summe</td><td>10</td></tr></table>"
"```java<br>int[][] arr = {{1,2,3},{4,5,6}};<br>System.out.print(arr[1][arr[0][0]+1]);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: arr={{1,2,3},{4,5,6}}] --> B[arr[0][0]+1=2]<br>    B --> C[print arr[1][2]]</div><br><br><strong>Output:</strong> <code>6</code> | <strong>Index:</strong> <code>0</code>"
"```java<br>int[][] arr = {{2,4,6},{8,10,12}};<br>System.out.print(arr[0][0] + arr[1][2]);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: arr={{2,4,6},{8,10,12}}] --> B[print arr[0][0] + arr[1][2]]</div><br><br><strong>Output:</strong> <code>14</code> | <strong>Index:</strong> <code>3</code><br><br><table><tr><th>Schritt</th><th>Wert</th></tr><tr><td>arr[0][0]</td><td>2</td></tr><tr><td>arr[1][2]</td><td>12</td></tr><tr><td>Summe</td><td>14</td></tr></table>"
"```java<br>int[][] arr = {{1,2},{3,4}};<br>System.out.print(arr[1][0] * arr[0][1]);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: arr={{1,2},{3,4}}] --> B[print arr[1][0] * arr[0][1]]</div><br><br><strong>Output:</strong> <code>6</code> | <strong>Index:</strong> <code>2</code><br><br><table><tr><th>Schritt</th><th>Wert</th></tr><tr><td>arr[1][0]</td><td>3</td></tr><tr><td>arr[0][1]</td><td>2</td></tr><tr><td>Produkt</td><td>6</td></tr></table>"
"```java<br>int[][] arr = {{5,6},{7,8}};<br>System.out.print(arr.length);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: arr={{5,6},{7,8}}] --> B[print arr.length]</div><br><br><strong>Output:</strong> <code>2</code> | <strong>Index:</strong> <code>1</code>"
"```java<br>int[][] arr = {{1,2,3},{4,5,6}};<br>System.out.print(arr[1][0] + arr[0][2]);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: arr={{1,2,3},{4,5,6}}] --> B[print arr[1][0] + arr[0][2]]</div><br><br><strong>Output:</strong> <code>7</code> | <strong>Index:</strong> <code>1</code><br><br><table><tr><th>Schritt</th><th>Wert</th></tr><tr><td>arr[1][0]</td><td>4</td></tr><tr><td>arr[0][2]</td><td>3</td></tr><tr><td>Summe</td><td>7</td></tr></table>"
"```java<br>int[][] arr = {{2,4},{6,8}};<br>System.out.print(arr[0][1] * arr[1][1]);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: arr={{2,4},{6,8}}] --> B[print arr[0][1] * arr[1][1]]</div><br><br><strong>Output:</strong> <code>32</code> | <strong>Index:</strong> <code>1</code><br><br><table><tr><th>Schritt</th><th>Wert</th></tr><tr><td>arr[0][1]</td><td>4</td></tr><tr><td>arr[1][1]</td><td>8</td></tr><tr><td>Produkt</td><td>32</td></tr></table>"
"```java<br>int[][] arr = {{1,3},{5,7}};<br>System.out.print(arr[1][1] - arr[0][0]);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: arr={{1,3},{5,7}}] --> B[print arr[1][1] - arr[0][0]]</div><br><br><strong>Output:</strong> <code>6</code> | <strong>Index:</strong> <code>2</code><br><br><table><tr><th>Schritt</th><th>Wert</th></tr><tr><td>arr[1][1]</td><td>7</td></tr><tr><td>arr[0][0]</td><td>1</td></tr><tr><td>Differenz</td><td>6</td></tr></table>"
